Packet_send_time(sec)	Packet_delay(sec)
32.831232		0.004896
32.842432		0.004896
32.853952		0.004896
32.867392		0.004896
32.880512		0.004896
32.893312		0.004896
32.904832		0.004896
32.917952		0.004896
32.931392		0.004896
32.945152		0.004896
32.959232		0.004896
32.970752		0.004896
32.984192		0.004896
32.996352		0.004896
33.027072		0.004896
33.038912		0.004896
33.052672		0.004896
33.066432		0.004896
33.077952		0.004896
33.092352		0.004896
33.106432		0.004896
33.119872		0.004896
33.134272		0.004896
33.147072		0.004896
33.159552		0.004896
33.172352		0.004896
33.185792		0.004896
33.197632		0.004896
33.211392		0.004896
33.222272		0.004896
33.236352		0.004896
33.248832		0.004896
32.836352		0.004896
32.848192		0.004896
32.860672		0.004896
32.873152		0.004896
32.887872		0.004896
32.898432		0.004896
32.911872		0.004896
32.924672		0.004896
32.938112		0.004896
32.952512		0.004896
32.964672		0.004896
32.977152		0.004896
32.990272		0.004896
33.007872		0.004896
33.032512		0.004896
33.045952		0.004896
33.060032		0.004896
33.071872		0.004896
33.085312		0.004896
33.097792		0.004896
33.112832		0.004896
33.127232		0.004896
33.140672		0.004896
33.154432		0.004896
33.166272		0.004896
33.179392		0.004896
33.192512		0.004896
33.204992		0.004896
33.216512		0.004896
33.230272		0.004896
33.243712		0.004896
33.256192		0.004896
33.261952		0.004896
33.269312		0.004896
33.276032		0.004896
33.283392		0.004896
33.289152		0.004896
33.294272		0.004896
33.300352		0.004896
33.307712		0.004896
33.313792		0.004896
33.318912		0.004896
33.325312		0.004896
33.331072		0.004896
33.337152		0.004896
33.344512		0.004896
33.352192		0.004896
33.358912		0.004896
33.364352		0.004896
33.371392		0.004896
33.377792		0.004896
33.385152		0.004896
33.390912		0.004896
33.397952		0.004896
33.403712		0.004896
33.408832		0.004896
33.414912		0.004896
33.422272		0.004896
33.428672		0.004896
33.434432		0.004896
33.441792		0.004896
33.446912		0.004896
33.452672		0.004896
33.461632		0.004896
33.475072		0.004896
33.482432		0.004896
33.491072		0.004896
33.501632		0.004896
33.511552		0.004896
33.521472		0.004896
33.532352		0.004896
33.541952		0.004896
33.552512		0.004896
33.561792		0.004896
33.571392		0.004896
33.582592		0.004896
33.597952		0.004896
33.604992		0.004896
33.610752		0.004896
33.622912		0.004896
33.633152		0.004896
33.642112		0.004896
33.651072		0.004896
33.661312		0.004896
33.671872		0.004896
33.681792		0.004896
33.691712		0.004896
33.700992		0.004896
33.713152		0.004896
33.723072		0.004896
33.731392		0.004896
33.742272		0.004896
33.751872		0.004896
33.762752		0.004896
33.771712		0.004896
33.782912		0.004896
33.792832		0.004896
33.801792		0.004896
33.828992		0.004896
33.836352		0.004896
33.843712		0.004896
33.852032		0.004896
33.862912		0.004896
33.871232		0.004896
33.881472		0.004896
33.892672		0.004896
33.900672		0.004896
33.912512		0.004896
33.922752		0.004896
33.931712		0.004896
33.942272		0.004896
33.952192		0.004896
33.966592		0.004896
33.972352		0.004896
33.982272		0.004896
33.992832		0.004896
34.002432		0.004896
34.014912		0.004896
34.039232		0.004896
34.046272		0.004896
34.051392		0.004896
34.058752		0.004896
34.064512		0.004896
34.070912		0.004896
34.082432		0.004896
34.090752		0.004896
34.102912		0.004896
34.113152		0.004896
34.121792		0.004896
34.132672		0.004896
34.140672		0.004896
34.152512		0.004896
34.162112		0.004896
34.172672		0.004896
34.181632		0.004896
34.192512		0.004896
34.203072		0.004896
34.213312		0.004896
34.222272		0.004896
34.232832		0.004896
34.241792		0.004896
34.251392		0.004896
34.261952		0.004896
34.272832		0.004896
34.282432		0.004896
34.291392		0.004896
34.302912		0.004896
34.313152		0.004896
34.322112		0.004896
34.335232		0.004896
34.342592		0.004896
34.352832		0.004896
34.362112		0.004896
34.372032		0.004896
34.381952		0.004896
34.392192		0.004896
34.402752		0.004896
34.412352		0.004896
34.421632		0.004896
34.431232		0.004896
34.441792		0.004896
34.452032		0.004896
34.461952		0.004896
34.471872		0.004896
34.481472		0.004896
34.492672		0.004896
34.501312		0.004896
34.512832		0.004896
34.521792		0.004896
34.532672		0.004896
34.542912		0.004896
34.552192		0.004896
34.562432		0.004896
34.571072		0.004896
34.581952		0.004896
34.592512		0.004896
34.601792		0.004896
34.612992		0.004896
34.622912		0.004896
34.633152		0.004896
34.641472		0.004896
34.650752		0.004896
34.661312		0.004896
34.672832		0.004896
34.683072		0.004896
34.692992		0.004896
34.703872		0.004896
34.712512		0.004896
34.721472		0.004896
34.732672		0.004896
34.742912		0.004896
34.752512		0.004896
34.762432		0.004896
34.772672		0.004896
34.782912		0.004896
34.792192		0.004896
34.800832		0.004896
34.811392		0.004896
34.820992		0.004896
34.844352		0.004896
34.850432		0.004896
34.857472		0.004896
34.862592		0.004896
34.870912		0.004896
34.880832		0.004896
34.892032		0.004896
34.902272		0.004896
34.912512		0.004896
34.920832		0.004896
34.930752		0.004896
34.941312		0.004896
34.950912		0.004896
34.962112		0.004896
34.972672		0.004896
34.982592		0.004896
34.991552		0.004896
35.003072		0.004896
35.017792		0.004896
35.038272		0.004896
35.048832		0.004896
35.054272		0.004896
35.062592		0.004896
35.073472		0.004896
35.081792		0.004896
35.091712		0.004896
35.101632		0.004896
35.112192		0.004896
35.121152		0.004896
35.132352		0.004896
35.142272		0.004896
35.152512		0.004896
35.160832		0.004896
35.172992		0.004896
35.182272		0.004896
35.195392		0.004896
35.202112		0.004896
35.212032		0.004896
35.222272		0.004896
35.231552		0.004896
35.242112		0.004896
35.251712		0.004896
35.262272		0.004896
35.270912		0.004896
35.281792		0.004896
35.290752		0.004896
35.300992		0.004896
35.318272		0.004896
35.324992		0.004896
35.332672		0.004896
35.341312		0.004896
35.352832		0.004896
35.363072		0.004896
35.371712		0.004896
35.382592		0.004896
35.392512		0.004896
35.401472		0.004896
35.411072		0.004896
35.420672		0.004896
35.433152		0.004896
35.442112		0.004896
35.452032		0.004896
35.460672		0.004896
35.470912		0.004896
35.482432		0.004896
35.492032		0.004896
35.502912		0.004896
35.511552		0.004896
35.522432		0.004896
35.531072		0.004896
35.541312		0.004896
35.552512		0.004896
35.564032		0.004896
35.571712		0.004896
35.582592		0.004896
35.591552		0.004896
35.602112		0.004896
35.612352		0.004896
35.620992		0.004896
35.631232		0.004896
35.643072		0.004896
35.650752		0.004896
35.662272		0.004896
35.671232		0.004896
35.939072		0.004896
35.686912		0.004896
35.957952		0.004896
35.692352		0.004896
35.975552		0.004896
35.700992		0.004896
35.992192		0.004896
35.713152		0.004896
36.019392		0.004896
35.721472		0.004896
36.044352		0.004896
35.732032		0.004896
36.068992		0.004896
35.742592		0.004896
36.086912		0.004896
35.750912		0.004896
36.105152		0.004896
35.763072		0.004896
36.124992		0.004896
35.771072		0.004896
36.145792		0.004896
35.782272		0.004896
36.163712		0.004896
35.791232		0.004896
36.185792		0.004896
35.800832		0.004896
36.204672		0.004896
35.811392		0.004896
36.225152		0.004896
35.932992		0.004896
36.245952		0.004896
35.944512		0.004896
35.951552		0.004896
35.964032		0.004896
35.970432		0.004896
35.980672		0.004896
35.987072		0.004896
35.997632		0.004896
36.008512		0.004896
36.024512		0.004896
36.036992		0.004896
36.055552		0.004896
36.062592		0.004896
36.075392		0.004896
36.081792		0.004896
36.093952		0.004896
