Time(sec)			Real time throughput of PAN coordinator(kbps)
34.844352			6741.906970
36.847232			6485.860202
38.851392			8009.780917
40.856192			7766.111052
42.857792			7332.238846
44.861632			7004.743114
46.868992			6856.635617
48.874112			6616.961763
50.876032			6256.655167
52.880192			6000.304834
54.884352			5744.146375
56.890752			5613.075215
58.894592			5456.637380
60.897472			5076.778800
62.900672			4963.607880
64.901632			4826.251125
66.904192			4392.985000
68.907072			4663.788748
70.908992			4517.781145
72.911552			4282.114862
74.912832			4262.751725
76.914432			4191.489008
78.918912			4033.484815
80.924992			3933.499648
82.928832			3875.245756
84.929792			3759.997578
86.934272			3696.700422
88.938752			3601.952196
90.939072			3466.808344
92.948992			3446.550837
94.950912			3288.200485
96.951872			3293.765654
98.957312			3175.630754
